source,target,weight
32813,199187,0.015937
32813,278374,0.017918999999999997
32813,281431,0.037639
32813,288123,0.023856999999999996
32813,393955,0.0039959999999999996
32813,399241,0.0039959999999999996
32813,412878,0.022868
32813,428286,0.026818
32813,439346,0.037639
32813,457566,0.0069900000000000006
32813,502190,0.037639
32813,509031,0.022868
32813,555524,0.037639
32813,645071,0.014943999999999999
32813,648400,0.015937
32813,654577,0.026818
32813,705172,0.034694
32813,776400,0.02188
32813,812593,0.024843999999999998
32813,833800,0.037639
32813,875987,0.03076
32813,965293,0.033711000000000005
32813,983433,0.022868
32813,987402,0.01097
32813,953413,0.013952
32813,815960,0.006988
32813,584792,0.031744
32813,372854,0.026818
32813,367841,0.0029980000000000002
32813,146170,0.024843999999999998
32813,16154,0.035676
32813,23096,0.032728
32813,23413,0.0029980000000000002
32813,32806,0.036657999999999996
32813,44162,0.023856000000000002
32813,46049,0.03076
32813,93499,0.009975000000000001
32813,189144,0.02188
32813,198812,0.034694
32813,202511,0.034694
32813,239215,0.014943999999999999
32813,318384,0.005992
32813,381316,0.005992
32813,437145,0.026818
32813,489729,0.016928
32813,520893,0.037639
32813,551095,0.004994
32813,575204,0.0029980000000000002
32813,584565,0.036657999999999996
32813,596456,0.015936
32813,702370,0.012958
32813,731718,0.023856999999999996
32813,759507,0.004994
32813,762558,0.007984
32813,856725,0.022868
32813,858258,0.023856999999999996
32813,890236,0.004994
32813,912099,0.03076
32813,937704,0.017918999999999997
32813,968045,0.03076
32813,983003,0.035676
32813,994520,0.004994
32813,82245,0.001999
32813,103910,0.011963999999999999
32813,688082,0.032728
32813,450134,0.009975000000000001
32813,177377,0.00898
32813,109353,0.009976
32813,137040,0.017918999999999997
32813,149050,0.029775
32813,157906,0.032728
32813,381409,0.016928
32813,436418,0.006988
32813,436879,0.032728
32813,439173,0.026818
32813,497387,0.029775
32813,539688,0.01891
32813,548544,0.00898
32813,575027,0.0039959999999999996
32813,601148,0.019901
32813,608983,0.007984999999999999
32813,638857,0.037639
32813,640518,0.001
32813,643349,0.031744
32813,689551,0.034694
32813,738233,0.036657999999999996
32813,783758,0.001
32813,789430,0.02188
32813,865448,0.037639
32813,876906,0.037639
32813,897361,0.011963999999999999
32813,897835,0.032728
32813,961018,0.036657999999999996
32813,991436,0.021879
32813,513869,0.026818
32813,365616,0.03076
32813,275363,0.014943999999999999
32813,253869,0.007984999999999999
32813,160531,0.037639
32813,241923,0.005991
32813,412455,0.009975000000000001
32813,473629,0.009976
32813,585626,0.01097
32813,12180,0.01891
32813,197117,0.033711000000000005
32813,235170,0.033711000000000005
32813,249667,0.032728
32813,287882,0.013951
32813,315741,0.037639
32813,323213,0.035676
32813,352321,0.013952
32813,415534,0.004994
32813,423420,0.015937
32813,473614,0.011965
32813,491298,0.034694
32813,514611,0.0039959999999999996
32813,672753,0.012958
32813,726542,0.01891
32813,733443,0.029775
32813,831962,0.00898
32813,927895,0.024843999999999998
32813,950407,0.015937
32813,57955,0.005991
32813,518855,0.007984999999999999
32813,384852,0.005992
32813,69175,0.01097
32813,91959,0.001999
32813,123437,0.021879
32813,152481,0.037639
32813,194721,0.035676
32813,394843,0.015937
32813,408206,0.009976
32813,495790,0.037639
32813,588774,0.032728
32813,602238,0.035676
32813,672075,0.015937
32813,680069,0.024843999999999998
32813,723044,0.032728
32813,734572,0.009975000000000001
32813,757766,0.01891
32813,760280,0.037639
32813,778579,0.016928
32813,835455,0.012958
32813,899692,0.009975000000000001
32813,956839,0.037639
32813,977079,0.033711000000000005
32813,107122,0.035676
32813,995957,0.0199
32813,592059,0.037639
32813,468051,0.006988
32813,163647,0.013952
32813,423765,0.012958
32813,790825,0.023856000000000002
32813,838961,0.022868
32813,131162,0.009976
32813,345317,0.0039970000000000006
32813,405415,0.02089
32813,713609,0.00898
32813,887152,0.014943999999999999
32813,978744,0.007984999999999999
32813,147559,0.016928
32813,264058,0.014943999999999999
32813,387451,0.0029980000000000002
32813,541424,0.013952
32813,679489,0.01891
32813,685281,0.016928
32813,833025,0.00898
32813,24901,0.02188
32813,280445,0.014943999999999999
32813,322877,0.019901
32813,495692,0.0029980000000000002
32813,778023,0.035676
32813,87420,0.004994
32813,947148,0.013951
32813,70766,0.024843999999999998
32813,90376,0.0029980000000000002
32813,385510,0.014943999999999999
32813,703680,0.012958
32813,715340,0.025831
32813,140840,0.024843999999999998
32813,454933,0.0039959999999999996
32813,500243,0.03076
32813,396793,0.001
32813,723328,0.005991
32813,796049,0.022868
32813,854305,0.001
32813,40543,0.0039970000000000006
32813,212905,0.0029980000000000002
32813,470988,0.0029980000000000002
32813,537780,0.014944
32813,624871,0.007984999999999999
32813,898004,0.007984
32813,991074,0.007984
32813,391950,0.004994
32813,455432,0.001999
32813,233229,0.00898
32813,314971,0.01097
32813,80991,0.02089
32813,411093,0.001999
32813,469487,0.0029980000000000002
32813,796444,0.004994
32813,804583,0.0039959999999999996
32813,184614,0.033711000000000005
32813,303118,0.0029980000000000002
32813,629573,0.006988
32813,806119,0.012958
32813,366226,0.001999
32813,387838,0.007984
32813,893916,0.0029980000000000002
32813,784715,0.001999
32813,968242,0.0029980000000000002
32813,152292,0.009975000000000001
32813,565019,0.004994
32813,633800,0.01097
32813,872331,0.01891
32813,178036,0.015936
32813,802814,0.001999
32813,68690,0.025831
32813,507005,0.0029980000000000002
32813,635789,0.031744
32813,572442,0.007984
32813,492472,0.001999
32813,504040,0.0039959999999999996
32813,154832,0.0039959999999999996
32813,187469,0.001
32813,344387,0.005991
32813,926638,0.005991
32813,681584,0.006988
32813,302819,0.014944
32813,578454,0.026818
32813,717776,0.001999
32813,565110,0.005991
32813,85752,0.009975000000000001
32813,892491,0.012958
32813,58052,0.027804999999999996
32813,182917,0.006988
32813,335833,0.007984
32813,428585,0.001
32813,583366,0.004994
32813,810801,0.001
32813,838520,0.013951
32813,665381,0.007984
32813,364412,0.011963999999999999
32813,292139,0.011963999999999999
32813,382421,0.001
32813,381742,0.012958
32813,194857,0.002998
32813,772269,0.017918999999999997
32813,59627,0.005991
32813,624598,0.005991
32813,92716,0.001999
32813,782334,0.01097
32813,109200,0.006988
32813,204172,0.017918999999999997
32813,680396,0.007984
32813,456045,0.01097
32813,315247,0.001
32813,936822,0.001
